DATE,POOL_NAME,POOL_ADDR,MIN_EP,MAX_EP
2024-04-22 00:00:00.000,USDC-USDT,0x6728bfc6f086801c6fdaa8a3689ff498ed071704,0.9908367602,0.9908367602
2024-04-23 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,3138.787096967,3242.599605644
2024-04-23 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3104.751494209,3154.149739501
2024-04-24 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.6281,2.6281
2024-04-24 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,3094.259765229,3287.896200426
2024-04-24 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3148.10097769,3338.975
2024-04-25 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3088.005066005,3213.178555177
2024-04-25 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.428067527,2.428067527
2024-04-25 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,3080.521195791,3176.972785249
2024-04-25 00:00:00.000,USDC-USDT,0x023fd380740d636dee320deaa19b75e377c688b7,0.9938,0.9938
2024-04-26 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3097.027999728,3165.268702694
2024-04-26 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,3081.761602575,3160.455
2024-04-26 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.326101648,2.408872632
2024-04-26 00:00:00.000,USDC-USDT,0x6728bfc6f086801c6fdaa8a3689ff498ed071704,0.9781144148,1.017208604
2024-04-27 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,3079.263100672,3262.56497128
2024-04-27 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3114.130434783,3218.421052632
